,flesch_reading_ease,smog_index,flesch_kincaid_grade,coleman_liau_index,automated_readability_index,dale_chall_readability_score,difficult_words,linsear_write_formula,gunning_fog,text_standard,mean_parse_tree_depth,mean_ents_per_sentence,mean_adj,mean_adp,mean_adv,mean_aux,mean_conj,mean_cconj,mean_det,mean_intj,mean_noun,mean_num,mean_part,mean_pron,mean_propn,mean_punct,mean_sconj,mean_sym,mean_verb,mean_x,mean_space,label,label_num
862,72.36,9.6,7.1,7.54,7.3,7.7,45.0,9.0,8.61,8.0,1.1218836565096952,2.0476190476190474,1.14,1.67,0.24,1.1,0.0,0.43,1.62,0.0,2.38,0.67,0.71,1.38,2.33,0.0,0.24,0.1,2.14,0.0,1.0,B1,2
863,81.63,9.7,5.6,7.53,7.1,8.08,48.0,6.857142857142857,8.31,8.0,1.35,1.5,0.73,1.95,0.32,1.05,0.0,0.59,1.59,0.0,2.59,0.36,0.45,1.55,1.73,0.27,0.18,0.0,2.05,0.0,0.95,B1,2
864,83.15,8.3,5.0,5.85,5.2,6.4,99.0,8.666666666666666,6.77,6.0,1.0575831305758312,0.5,0.85,1.3,0.8,1.04,0.0,0.62,0.94,0.05,2.37,0.11,0.32,2.54,0.73,0.0,0.43,0.0,1.91,0.0,1.0,B1,2
865,55.98,12.0,11.3,10.16,12.7,10.69,24.0,12.0,11.47,12.0,1.1574803149606299,4.6,1.0,2.4,0.6,2.2,0.0,0.6,1.0,0.0,1.6,1.0,0.8,0.8,10.2,0.0,0.0,0.2,2.0,0.0,1.0,B1,2
866,74.22,10.0,8.4,8.65,10.8,7.58,35.0,11.8,10.33,8.0,1.2333333333333334,1.5714285714285714,1.5,2.57,1.57,1.64,0.0,1.21,1.36,0.0,3.43,0.29,0.79,2.86,1.0,0.29,0.57,0.0,3.57,0.0,0.93,B1,2
867,71.44,9.7,7.4,8.93,8.8,7.25,45.0,8.5,8.57,9.0,1.327485380116959,0.9473684210526315,0.58,1.58,0.74,1.37,0.0,0.37,2.63,0.0,3.68,0.26,0.47,0.95,1.26,0.21,0.37,0.0,2.58,0.0,0.95,B1,2
868,75.4,9.0,5.9,8.51,7.2,7.07,30.0,7.428571428571429,7.11,7.0,1.1789137380191694,1.4090909090909092,0.68,1.73,0.64,0.68,0.0,0.41,0.64,0.0,2.36,0.14,0.5,1.64,1.41,0.18,0.23,0.0,2.05,0.0,0.95,B1,2
869,86.1,6.9,3.9,5.37,3.8,6.32,23.0,4.3,5.5,4.0,0.9595015576323987,0.6666666666666666,0.59,0.85,0.81,0.93,0.0,0.3,1.0,0.0,2.11,0.26,0.44,1.26,0.41,0.07,0.26,0.07,1.56,0.0,0.96,B1,2
870,78.48,8.7,6.8,6.96,8.2,7.84,44.0,7.142857142857142,8.53,7.0,1.2393509127789046,0.875,1.0,2.29,1.0,1.42,0.0,0.71,0.96,0.0,3.71,0.71,0.88,2.71,0.58,0.71,0.58,0.0,2.33,0.0,0.96,B1,2
871,80.72,8.4,6.0,7.48,7.4,6.3,24.0,8.0,7.42,8.0,1.1027190332326284,1.0,1.16,1.53,0.58,1.0,0.0,0.37,1.53,0.0,3.32,0.11,0.79,1.74,0.68,0.21,1.05,0.0,2.42,0.0,0.95,B1,2
872,71.55,9.5,7.4,8.41,8.4,7.39,50.0,7.857142857142858,8.85,8.0,1.1270207852193996,1.0,0.96,1.75,1.17,1.21,0.0,0.42,1.29,0.04,3.08,0.42,0.67,2.17,0.42,0.25,0.46,0.04,2.71,0.0,1.0,B1,2
873,71.65,9.5,7.4,9.68,9.3,8.86,56.0,13.25,9.02,10.0,1.2307692307692308,2.0,0.7,1.9,0.2,0.6,0.0,0.45,1.85,0.0,3.75,0.7,0.2,0.85,2.7,0.0,0.35,0.0,2.3,0.0,1.0,B1,2
